mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__kernel,param_tfidf__max_df,param_tfidf__max_features,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,classifier,tokenizer,param_classifier__alpha,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators
0.21581459045410156,0.031407181030131674,0.06847778956095378,0.00828430043291342,10.0,linear,0.9,5000,"{'classifier__C': 10, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.2588709195454915,0.019536025337660474,0.08434677124023438,0.009895585508382133,10.0,linear,0.9,7000,"{'classifier__C': 10, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.2964605490366618,0.01851546657429423,0.0937963326772054,0.02715480210726821,10.0,linear,0.9,No Max Features,"{'classifier__C': 10, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.2841626803080241,0.053786489261027234,0.0835408369700114,0.017027444324366755,10.0,rbf,0.8,5000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.4875,0.4936708860759494,0.5063291139240507,0.49583333333333335,0.007837559841215263,19,svm,thai_preprocess,,,,
0.262684424718221,0.024762868351600357,0.09259517987569173,0.005875623353544675,10.0,rbf,0.8,7000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.4875,0.4936708860759494,0.5063291139240507,0.49583333333333335,0.007837559841215263,19,svm,thai_preprocess,,,,
0.2750043074289958,0.005795330467166314,0.05837790171305338,0.009214311396287476,10.0,rbf,0.8,No Max Features,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.4875,0.4936708860759494,0.5063291139240507,0.49583333333333335,0.007837559841215263,19,svm,thai_preprocess,,,,
0.22386415799458823,0.014762479164555907,0.06334797541300456,0.009013430348616076,10.0,rbf,0.9,5000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.4875,0.4936708860759494,0.4936708860759494,0.4916139240506329,0.002908983593488977,25,svm,thai_preprocess,,,,
0.21311092376708984,0.012540484251440654,0.07178600629170735,0.008463378221707887,10.0,rbf,0.9,7000,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.9, 'tfidf__max_features': 7000}",0.4875,0.4936708860759494,0.4936708860759494,0.4916139240506329,0.002908983593488977,25,svm,thai_preprocess,,,,
0.20960593223571777,0.0022961002236196676,0.06962879498799641,0.008371790766833113,10.0,rbf,0.9,No Max Features,"{'classifier__C': 10, 'classifier__kernel': 'rbf', 'tfidf__max_df': 0.9, 'tfidf__max_features': None}",0.4875,0.4936708860759494,0.4936708860759494,0.4916139240506329,0.002908983593488977,25,svm,thai_preprocess,,,,
0.2022538979848226,0.012568240973679517,0.06814742088317871,0.007296020843140518,100.0,linear,0.8,5000,"{'classifier__C': 100, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.21646634737650552,0.010770401983995015,0.0691055456797282,0.0029221065846349774,100.0,linear,0.8,7000,"{'classifier__C': 100, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 7000}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.2348020076751709,0.02269831584711943,0.07147796948750813,0.011339440288697256,100.0,linear,0.8,No Max Features,"{'classifier__C': 100, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.8, 'tfidf__max_features': None}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
0.25428303082784015,0.04589338960529254,0.08491841952006023,0.014717770659648518,100.0,linear,0.9,5000,"{'classifier__C': 100, 'classifier__kernel': 'linear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 5000}",0.5125,0.6075949367088608,0.569620253164557,0.5632383966244725,0.03908373759497442,1,svm,thai_preprocess,,,,
